Session,Date,Club,Distance,Unit,Mode,Wind,Temp,Target ft,Made,Gimmes / Target Misses,Missed,Total Unsuccessful,Make %,Up and Down %,Accuracy Long Left,Accuracy Long Right,Accuracy Short Left,Accuracy Short Right,Center,Off-Center,Flush %,Contact High Toe,Contact High Heel,Contact Low Toe,Contact Low Heel,Best Streak,Duffs,Shanks,Skulls,Mis-Hits,Practice Mode,PGA Tour Avg %,Delta vs PGA,Putt Short Left,Putt Long Right,Putt Long Left,Putt Short Right,Total Putts,Lag Putts,Lag Putt %
1,8/11/2026,Putter,3ft,ft,Putt,,,,0,,2,2,0%,,,,,,,,,,,,,0,,,,,,96%,-96%,0,0,0,2,2,0,0%
1,8/11/2026,Putter,4ft,ft,Putt,,,,2,,0,0,100%,,,,,,,,,,,,,2,,,,,,88%,12%,0,0,0,0,2,0,0%
1,8/11/2026,Putter,6ft,ft,Putt,,,,0,,2,2,0%,,,,,,,,,,,,,0,,,,,,66%,-66%,0,0,0,2,2,0,0%
1,8/11/2026,Putter,7ft,ft,Putt,,,,2,,0,0,100%,,,,,,,,,,,,,2,,,,,,58%,42%,0,0,0,0,2,0,0%
1,8/11/2026,Putter,16ft,ft,Putt,,,,2,,0,0,100%,,,,,,,,,,,,,2,,,,,,21%,79%,0,0,0,0,2,0,0%
1,8/11/2026,Putter,18ft,ft,Putt,,,,2,,0,0,100%,,,,,,,,,,,,,2,,,,,,18%,82%,0,0,0,0,2,0,0%
1,8/11/2026,Putter,30ft,ft,Putt,,,,2,,0,0,100%,,,,,,,,,,,,,2,,,,,,7%,93%,0,0,0,0,2,0,0%
1,8/11/2026,Putter,36ft,ft,Putt,,,,2,,0,0,100%,,,,,,,,,,,,,2,,,,,,4%,96%,0,0,0,0,2,0,0%
1,8/11/2026,Putter,75ft,ft,Putt,,,,0,,2,2,0%,,,,,,,,,,,,,0,,,,,,1%,-1%,0,0,0,2,2,0,0%
1,8/11/2026,Putter,ALL,ft,Putt,,,,12,,6,6,67%,,,,,,,,,,,,,,,,,,COMBINED,,,0 (0%),0 (0%),0 (0%),6 (100%),18,0,0%
GRAND TOTAL,,Putter,ALL,ft,Putt,,,,12,,6,6,67%,,,,,,,,,,,,,,,,,,COMBINED,,,0 (0%),0 (0%),0 (0%),6 (100%),18,0,0%
